"ge","ibm","mobil","crsp"
-0.164356,-0.171875,-0.118243,-0.109712
0.224,0.189465,0.124138,0.165614
-0.029412,-0.054858,-0.080139,-0.04094
-0.090236,-0.052186,0.090909,-0.027007
0.157303,0.120536,0.169444,0.141429
0.152751,0.152722,0.00303,0.05861
0.042493,-0.041183,-0.039275,0.030163
0,0.015729,0.033962,0.046423
-0.013587,0.031566,0.177019,0.055156
0.168595,-0.027907,0.002639,0.051587
-0.102138,-0.089713,-0.045263,-0.060447
-0.021164,-0.011827,-0.008427,-0.023611
-0.04,0.010738,0.011331,-0.037964
0.09375,0.12749,0.047059,0.056037
0.002597,0.074794,-0.010899,0.031164
-0.035751,-0.009387,0.041322,-0.011014
0.214092,0.149387,0.168783,0.125958
-0.046875,-0.001455,-0.011494,0.007165
-0.008899,0.024939,0.07907,0.026804
0.02381,-0.03292,0.023707,-0.010473
-0.053488,0.019734,0.018526,-0.009363
0.130713,0.078422,0.004193,0.044439
-0.045952,-0.016712,-0.022965,-0.006111
-0.027523,0.01378,-0.000427,-0.001385
0.029717,0.028323,0.067245,0.0245
-0.013857,-0.034207,-0.01626,-0.020402
-0.051522,0.00552,0.005372,0.005578
0.107654,0.029982,0.085595,0.0616
-0.049438,-0.013883,0.028846,-0.036341
-0.044917,0.011807,0.001121,-0.015759
-0.018317,0.001812,0.018939,-0.009247
0.096692,-0.064195,-0.01487,0.004957
0.006961,-0.041546,-0.015849,-0.010792
0.051613,0.075356,0.058366,0.051359
-0.037611,0.015625,0.005515,-0.012806
-0.018391,0.010256,-0.108592,-0.013357
-0.029508,-0.02748,0.03125,0.001574
-0.021951,-0.014368,0,-0.039284
0.010973,0.035957,0.049293,0.045434
-0.004988,0.035985,-0.003914,0.008209
-0.082707,-0.02925,-0.046365,-0.055195
-0.021858,-0.042825,-0.016771,-0.00928
0.05419,-0.062687,0.049041,0.034004
0.120643,0.129512,0.077236,0.082844
0.011962,-0.018308,-0.010566,0.023228
-0.032624,-0.003872,-0.042636,-0.010751
0.061881,0.092323,0.02834,0.05674
0.011655,0.04895,0.055905,0.042352
-0.013364,-0.050964,0.064394,-0.006892
-0.101655,-0.046029,-0.069039,-0.110995
0.005789,0.030766,0.036965,0.033793
0,0.107607,0.041276,0.017713
0.023873,0.034338,0.060541,0.049491
-0.033161,-0.017198,-0.001727,-0.026774
0.043478,0.051667,0.029412,0.065611
0.023438,-0.003962,0.078992,0.008521
0.014249,-0.021671,-0.086293,-0.013597
0.017812,-0.034539,0.088388,0.046851
0.035,-0.049404,0.018471,0.014989
0.028986,0.015914,0.111111,0.064743
-0.033803,-0.032143,0.18,0.001409
-0.046798,-0.079336,-0.031477,-0.072651
-0.032041,0.05988,0.050761,0.063604
0.097561,-0.01341,0.062802,0.028201
0.08642,0.066019,0.075,0.065578
-0.073636,-0.062149,0.366167,0.001028
-0.042289,-0.122047,-0.175549,-0.120207
-0.012987,-0.015695,0.119392,0.052297
0.057895,0.024784,0.003436,0.060073
0.040404,0.060948,-0.023973,0.03771
0.092233,0.110638,0.054035,0.069447
-0.031111,0.017011,-0.058923,0.023514
-0.020642,-0.020992,0.007156,0.029481
0.028504,0.038986,0.058615,0.020038
0.143187,0.035422,0.192953,0.104928
0.00202,-0.00367,-0.081081,-0.034379
0,-0.051565,-0.082043,-0.040113
0.089796,0.011417,-0.066667,0.015533
0.014981,-0.029183,-0.042125,0.046186
-0.020522,-0.06012,-0.024857,-0.011243
0.001905,0.016802,-0.091633,0.013534
-0.046768,-0.014894,0.052632,-0.010176
-0.014141,-0.030238,0.020833,-0.003053
-0.084016,-0.002494,-0.057143,-0.056263
-0.003579,-0.018141,-0.105727,-0.063748
-0.01139,-0.048499,0.024631,0.060182
0.112903,0.074951,0.038462,0.045837
-0.036439,0.043578,-0.089623,-0.028082
0.089325,0.118681,-0.015544,-0.026205
0.006,-0.013988,-0.015789,-0.051118
0.020676,-0.034343,-0.038251,-0.010083
0.011834,0.075314,-0.011364,0.043273
-0.035088,-0.029416,0.091954,-0.028197
0.04202,-0.014228,-0.037634,-0.023914
0.033399,0.082474,-0.072626,-0.020539
0.144487,0.08739,0.156627,0.119023
0.004651,0.04078,0.042553,0.016758
0.148829,0.088586,0.020408,0.118634
0.087045,0.093709,-0.04,0.051921
0.025676,0.112717,0.069149,0.014449
0.090909,0.027273,0.054726,0.041546
0.048309,0.009962,0.009434,0.030502
-0.024424,0.027778,0.095238,0.034707
0.065476,0.149877,0.091304,0.074271
-0.075978,-0.041026,-0.051793,0.013074
0.073277,0.080899,0.076923,0.037997
-0.093182,0.00104,-0.059524,-0.031727
0.025063,0.000623,0.118143,0.003569
0.041076,0.061715,-0.049808,0.016314
-0.018957,-0.000985,-0.032258,-0.027745
0.113527,-0.066469,-0.033333,0.029353
0.026258,0.039404,0.008772,-0.010431
-0.072495,-0.064549,0.084348,-0.012917
-0.043678,-0.02563,0.02449,-0.039171
0.064904,0.034014,-0.027888,0.013449
0.01139,-0.002193,0.028689,0.002735
-0.042793,-0.044396,-0.145817,-0.052351
-0.002353,-0.018561,0.009524,0.023593
0,0.047281,-0.092453,-0.020359
0.078571,0.127314,0.260638,0.112571
-0.006623,0.00404,0.012658,0.000384
0.03139,0.011871,0.014167,0.000131
-0.027391,-0.023069,-0.041841,-0.010492
0.022573,0.011294,-0.052402,0.023797
0.128035,0.107614,0.052535,0.085734
0.004697,-0.009349,0.071429,0.017002
-0.070727,-0.052239,0,-0.00193
0,-0.003937,0.026667,-0.002183
0.034672,0.025494,0.028926,0.055878
0.020619,-0.037901,-0.032129,0.017188
0.036364,0.061616,0.00166,-0.000547
-0.048733,-0.027783,-0.012658,-0.004806
-0.048361,-0.021718,0.004274,-0.039657
0.002174,0.048436,0.099574,0.044577
0.138829,0.084504,-0.007874,0.069269
0.11741,0.112701,-0.039683,0.04326
-0.025773,-0.025723,-0.020661,0.009849
0.101658,0.003135,-0.002532,0.072851
0.012903,0.004143,-0.025862,0.053887
-0.004777,0.031353,0.041593,-0.008061
0.0208,-0.01776,0.082251,0.050822
0.022947,-0.038556,0.012,0.014299
-0.098765,-0.095563,-0.022134,-0.059675
0.077055,0.055472,0.17284,0.06639
-0.078474,-0.030631,0.052632,-0.079142
0.06087,-0.080855,0.02,0.04945
0.088525,0.037209,0.043791,0.01516
0.043735,-0.056047,0.019048,-0.026555
0.165698,0.072917,0.093458,0.128378
0.031172,0.092039,-0.021652,0.047627
0.020605,0.076165,0.123894,0.023236
-0.013111,0.066611,-0.006824,-0.017122
0.004831,0.006089,-0.002674,0.005218
0.052019,0.015625,0.091153,0.043836
0.089655,-0.009231,0.031941,0.044058
0.054852,0.05264,0.029524,0.037228
-0.01072,-0.104677,-0.081776,-0.020737
-0.229675,-0.187396,-0.178117,-0.224879
-0.105541,-0.086939,-0.150464,-0.072908
0.049558,0.042889,0.159259,0.070414
0.022663,-0.027056,0.127796,0.045348
0.00831,0.055395,0.009632,0.051609
-0.104945,-0.084043,0.005682,-0.017064
0,0.053426,0.056497,0.010989
0.040248,0.001985,-0.027273,0.000938
0.052976,0.132222,-0.030641,0.051372
-0.025641,-0.012758,0.028736,-0.007179
-0.055556,-0.104573,-0.017318,-0.027928
0.082972,0.034753,-0.017291,0.037276
0.005764,0.062839,0.041056,0.01766
0.031519,-0.024669,0.016338,-0.0164
0.003556,0.028481,0.022472,0.021005
0.081006,0.071795,0.076374,0.065958
-0.054264,-0.061435,-0.036176,-0.016365
-0.018361,-0.101852,0.050938,0.02153
0.098315,0.044674,0.035714,0.048536
0.117647,-0.027763,0.027586,0.039529
-0.047414,0.020525,-0.041262,-0.004925
0.133172,0.027933,0.037975,0.077109
-0.014957,0.029,0.083415,0.02196
-0.012408,-0.067236,0.022779,-0.001587
-0.019912,-0.08238,0.0049,-0.02939
0.119639,-0.014115,0.056054,0.017846
0.047903,-0.035851,0.063694,0.01829
-0.034884,0.047809,-0.045509,-0.070054
-0.000482,0.065501,0.044397,0.014978
0.040486,0.021661,-0.004049,0.024162
-0.003891,0.027091,-0.020325,-0.02815
0.083516,0.112018,0.055602,0.088887
0.005445,-0.020833,-0.017893,-0.0043
0.034296,-0.051064,0.068421,-0.009381
-0.13438,-0.075471,-0.021073,-0.09174
-0.113387,0.044172,-0.015656,-0.053868
-0.045872,-0.009401,-0.083897,-0.012422
0.052885,0.089775,0.035165,0.065985
0.05726,-0.005501,-0.014862,0.029549
0.115468,0.121681,-0.009052,0.049067
0.070469,0.025325,0.110132,0.075686
0.023897,-0.115534,0.02381,0.028793
0.016158,-0.095499,0.062016,0.003332
0.099081,0.042087,-0.026642,0.040607
-0.042071,-0.084806,-0.024668,-0.044247
-0.010135,0.042471,0.064981,0.046838
0.022184,-0.031259,0.011091,0.026912
-0.066644,0.069677,-0.003656,-0.011062
-0.005405,-0.05187,0.042936,0.017714
-0.061594,-0.046209,-0.078292,-0.037272
0.189961,-0.037838,0.048263,0.107055
-0.01634,0.011236,-0.058932,-0.001693
0.04485,-0.021278,-0.018787,0.013281
-0.029571,-0.038849,-0.038384,-0.02368
0.011551,0.086826,0.086134,0.013838
-0.003263,0.013333,0.018182,0.006497
0.025205,0.078512,-0.053846,-0.019241
-0.016077,-0.031928,0.058943,0.039942
-0.03268,-0.072982,0.008445,-0.020754
0.065405,-0.067821,0.00578,0.012426
-0.019169,-0.171827,-0.034483,0.010905
0.084691,0.038654,-0.023016,0.040181
0.034595,-0.261905,0.039095,0.017482
0.00731,0.022333,0.007921,0.012331
-0.023222,0.066311,0.071513,0.005486
0.066924,-0.064368,0.020408,0.025029
0.01683,-0.044226,0.030909,-0.025503
0.023448,0.095938,-0.004586,0.029422
0.039137,-0.063981,0.071685,0.005123
0.028721,-0.098734,0.008361,-0.000773
-0.002538,0.033708,0.042123,0.039344
-0.017761,-0.081967,0.049839,0.000598
0.011734,0.095238,-0.001531,0.01803
0.014175,0.17663,-0.052454,-0.017317
0.073393,0.048724,0.036007,0.019438
0.027414,0,0.023697,0.031304
-0.022042,-0.059735,-0.018827,-0.024074
-0.044176,0.033097,-0.054054,-0.045743
-0.0475,0.052632,0.052101,0.009815
0.044619,0.1,0.046006,0.009504
-0.055578,-0.06746,0.006173,-0.027381
0.080429,0.053191,0.029141,0.030411
-0.012407,0.111111,0.016095,0.042831
-0.025427,0.016423,-0.062222,-0.018664
0.015584,0.070018,0.086888,0.014875
-0.058824,-0.04698,0.001163,-0.037079
0.117609,0.038869,-0.01173,0.012752
0.009804,-0.018707,0.035312,0.020623
0.063107,0.046794,0.007236,0.039655
-0.00621,0.091362,0.064655,0.026966
0.037037,0.152207,0.024291,0.024903
0.035714,-0.014531,0.058498,0.03415
-0.020948,0.032258,-0.035176,0.030846
0.046563,0.134115,0.018229,0.040675
-0.002119,-0.04822,-0.016113,0.009336
0.089766,-0.085852,0.045932,0.036391
-0.007843,0.029101,0.011292,-0.01115
0.061265,-0.003856,0.045161,0.042984
0.079479,-0.054334,0.070659,0.015395
0.065972,0.187414,-0.008949,0.028081
-0.016287,0.132488,-0.001806,0.016042
0.03755,-0.092762,0.057013,0.011196
-0.008026,-0.031461,-0.007551,0.02513
0.071197,-0.006032,-0.009783,0.026733
0.048338,-0.0726,-0.00443,-0.007649
-0.046571,0.085859,-0.01891,-0.053415
0.010638,0.067209,0.034014,0.032191
0.100271,0.088525,0.024336,0.052988
0.063187,0.036145,0.008639,0.013957
0.074935,0.238178,0.046039,0.065701
-0.044279,-0.049412,0.009288,-0.011361
0.046776,0.035479,0.07362,0.053049
-0.006039,-0.081434,-0.056686,-0.000873
-0.030182,-0.045217,0.064155,-0.044405
0.118388,0.169399,-0.004785,0.0425
0.087838,0.079128,0.084115,0.071312
0.076605,0.043353,-0.000894,0.044189
0.082846,0.171745,0.102397,0.076272
-0.107843,-0.03948,-0.04902,-0.036411
0.092068,0.045623,0.017182,0.05797
-0.050505,-0.070755,-0.008885,-0.034091
0.143133,0.113706,-0.012017,0.031223
-0.002707,-0.044521,0.003475,0.018058
0.056218,-0.056153,-0.051082,0.004452
0.003226,0.05962,0.063066,0.072849
0.112379,-0.005386,0.060554,0.051306
-0.011603,0.115523,0.032626,0.010859
-0.021277,0.015922,-0.007014,-0.02543
0.089955,-0.022872,-0.017628,0.032986
-0.012517,0.154056,-0.082284,-0.023231
-0.105521,-0.14834,-0.008961,-0.156572
-0.001719,0.140954,0.098553,0.064033
0.099764,0.155642,-0.003292,0.074123
0.032857,0.113434,0.143782,0.061343
0.132503,0.116578,0.013081,0.06316
