"wage","education","experience","ethnicity","smsa","region","parttime"
1851.85,17,14,"cauc","yes","northeast","no"
1009.02,14,9,"cauc","yes","northeast","no"
1210.83,18,13,"cauc","yes","northeast","no"
752.54,14,29,"cauc","yes","northeast","no"
246.91,16,20,"cauc","yes","northeast","no"
835.71,18,26,"cauc","yes","northeast","no"
1182.34,14,23,"cauc","yes","northeast","no"
109.04,12,1,"cauc","yes","northeast","yes"
123.46,11,3,"cauc","yes","northeast","yes"
1028.02,18,12,"cauc","yes","northeast","no"
688.51,18,5,"cauc","yes","northeast","no"
688.51,16,14,"cauc","yes","northeast","no"
358.02,12,1,"cauc","yes","northeast","no"
368,13,16,"cauc","yes","northeast","no"
197.53,11,1,"cauc","yes","northeast","no"
379.87,12,8,"cauc","no","northeast","no"
432.1,17,7,"cauc","no","northeast","no"
403.61,15,4,"cauc","no","northeast","no"
53.31,16,0,"cauc","no","northeast","yes"
189.93,12,28,"cauc","no","northeast","no"
332.38,12,2,"cauc","no","northeast","no"
474.83,12,22,"cauc","yes","northeast","no"
275.81,11,2,"cauc","yes","northeast","no"
522.32,14,10,"cauc","yes","northeast","no"
61.73,12,46,"cauc","no","northeast","yes"
356.13,12,47,"cauc","no","northeast","no"
546.06,12,24,"cauc","no","northeast","no"
444.06,12,41,"cauc","no","northeast","no"
569.8,8,36,"cauc","yes","northeast","no"
555.56,12,26,"cauc","no","northeast","no"
308.64,12,11,"cauc","no","northeast","no"
474.83,16,18,"cauc","no","northeast","no"
237.42,12,7,"cauc","no","northeast","no"
302.59,12,4,"cauc","no","northeast","no"
262.3,12,2,"cauc","no","northeast","no"
430.03,8,40,"cauc","no","northeast","no"
441.26,12,43,"cauc","no","northeast","no"
261.16,9,43,"cauc","no","northeast","no"
237.42,12,11,"cauc","no","northeast","no"
1610.31,12,19,"cauc","no","northeast","no"
1047.01,16,14,"cauc","no","northeast","no"
949.67,17,17,"cauc","no","northeast","no"
1020.89,18,17,"cauc","no","northeast","no"
688.51,18,16,"cauc","no","northeast","no"
133.14,14,19,"cauc","yes","northeast","yes"
664.77,16,6,"cauc","yes","northeast","no"
759.73,12,13,"cauc","yes","northeast","no"
641.03,12,16,"cauc","yes","northeast","no"
379.87,10,12,"cauc","yes","northeast","no"
246.91,10,18,"cauc","yes","northeast","no"
339.51,12,11,"cauc","yes","northeast","yes"
496.51,12,15,"cauc","yes","northeast","no"
651.11,8,33,"cauc","no","northeast","no"
352.73,12,44,"cauc","no","northeast","no"
712.25,12,39,"cauc","no","northeast","no"
493.83,12,19,"cauc","no","northeast","no"
74.07,12,45,"cauc","yes","northeast","yes"
474.83,14,46,"cauc","no","northeast","no"
878.44,18,16,"cauc","yes","northeast","no"
1025.64,16,29,"cauc","yes","northeast","no"
356.13,14,4,"cauc","yes","northeast","no"
197.53,10,8,"cauc","yes","northeast","no"
641.03,13,27,"cauc","no","northeast","no"
284.9,12,15,"cauc","no","northeast","no"
493.83,12,6,"cauc","no","northeast","no"
807.22,12,41,"cauc","no","northeast","no"
1044.63,12,39,"cauc","no","northeast","no"
346.63,14,28,"cauc","yes","northeast","no"
201.43,12,49,"cauc","yes","northeast","yes"
498.58,12,10,"cauc","no","northeast","no"
261.16,12,22,"cauc","no","northeast","no"
587.89,18,14,"cauc","no","northeast","no"
569.8,12,29,"cauc","no","northeast","no"
612.73,15,22,"cauc","no","northeast","no"
227.92,12,27,"cauc","no","northeast","no"
71.23,12,1,"cauc","no","northeast","no"
1685.66,18,14,"cauc","yes","northeast","no"
949.67,17,17,"cauc","yes","northeast","no"
166.19,11,22,"cauc","yes","northeast","no"
593.54,14,18,"cauc","yes","northeast","no"
783.48,16,20,"cauc","yes","northeast","no"
902.18,12,16,"cauc","yes","northeast","no"
427.35,12,14,"cauc","yes","northeast","no"
783.48,12,25,"cauc","yes","northeast","no"
308.64,13,-1,"cauc","yes","northeast","no"
688.51,12,17,"cauc","no","northeast","no"
302.47,12,28,"cauc","no","northeast","no"
617.28,12,20,"cauc","no","northeast","no"
641.03,14,20,"cauc","no","northeast","no"
202.47,16,17,"cauc","no","northeast","no"
546.06,12,9,"cauc","no","northeast","no"
782.9,12,18,"cauc","no","northeast","no"
854.7,14,20,"cauc","no","northeast","no"
759.73,16,17,"cauc","no","northeast","no"
661.38,14,-1,"cauc","no","northeast","no"
332.38,15,3,"cauc","no","northeast","no"
735.49,5,37,"cauc","no","northeast","no"
316.56,12,0,"cauc","no","northeast","yes"
664.77,10,7,"cauc","no","northeast","no"
688.51,12,36,"cauc","no","northeast","no"
637.71,12,38,"cauc","no","northeast","no"
410.73,14,18,"cauc","no","northeast","no"
249.29,14,25,"cauc","no","northeast","no"
209.88,12,26,"cauc","no","northeast","no"
504.27,13,24,"cauc","no","northeast","no"
269.44,9,29,"cauc","no","northeast","no"
119.35,12,0,"cauc","no","northeast","yes"
759.73,8,43,"cauc","no","northeast","no"
338.32,12,24,"cauc","no","northeast","no"
807.22,12,37,"cauc","no","northeast","no"
332.38,12,20,"cauc","no","northeast","no"
712.25,16,11,"cauc","yes","northeast","no"
846.98,18,15,"cauc","no","northeast","no"
707.5,13,28,"cauc","no","northeast","no"
653.59,16,36,"cauc","no","northeast","no"
324.07,15,0,"cauc","no","northeast","yes"
391.74,12,14,"cauc","no","northeast","no"
395.06,14,2,"cauc","no","northeast","no"
378.09,12,0,"cauc","no","northeast","no"
379.87,12,12,"cauc","no","northeast","no"
256.41,12,20,"cauc","no","northeast","no"
318,12,27,"cauc","no","northeast","no"
522.32,12,17,"cauc","no","northeast","no"
284.9,12,6,"cauc","no","northeast","no"
254.63,16,3,"cauc","no","northeast","no"
458.21,16,6,"cauc","no","northeast","no"
142.45,12,11,"cauc","no","northeast","no"
145.4,12,9,"cauc","no","northeast","yes"
664.77,15,20,"cauc","no","northeast","no"
997.15,16,17,"cauc","yes","northeast","no"
474.83,16,1,"cauc","yes","northeast","no"
432.1,12,19,"cauc","yes","northeast","no"
593.54,16,9,"cauc","yes","northeast","no"
402.68,8,47,"cauc","no","northeast","no"
474.36,12,14,"cauc","no","northeast","no"
356.13,12,8,"cauc","no","northeast","no"
186.45,8,9,"cauc","yes","northeast","no"
581.67,17,24,"cauc","no","northeast","no"
338.9,14,14,"cauc","no","northeast","no"
541.31,15,23,"cauc","no","northeast","no"
546.06,12,19,"cauc","no","northeast","no"
189.93,12,16,"cauc","no","northeast","no"
712.25,16,14,"cauc","no","northeast","no"
518.52,14,17,"cauc","no","northeast","yes"
451.09,12,3,"cauc","no","northeast","no"
379.87,16,18,"cauc","no","northeast","no"
284.9,12,8,"cauc","no","northeast","no"
626.78,18,11,"cauc","no","northeast","no"
1590.69,18,23,"cauc","no","northeast","no"
374.53,9,40,"cauc","no","northeast","no"
807.22,12,19,"cauc","no","northeast","no"
158.25,13,18,"cauc","no","northeast","no"
997.15,12,8,"cauc","no","northeast","no"
925.93,12,11,"cauc","no","northeast","no"
830.96,12,10,"cauc","no","northeast","no"
439.22,12,11,"cauc","yes","northeast","no"
498.58,12,7,"cauc","yes","northeast","no"
493.83,11,45,"cauc","no","northeast","no"
332.38,15,18,"cauc","no","northeast","no"
166.19,18,16,"cauc","no","northeast","no"
261.16,12,6,"cauc","yes","northeast","no"
207.82,8,55,"cauc","no","northeast","no"
334.36,12,38,"cauc","no","northeast","no"
498.53,15,19,"cauc","no","northeast","no"
322.06,8,35,"cauc","yes","northeast","no"
807.22,14,5,"cauc","yes","northeast","no"
474.83,12,14,"cauc","yes","northeast","no"
629.39,16,11,"cauc","yes","northeast","no"
377.49,9,20,"cauc","yes","northeast","no"
587.89,16,19,"cauc","yes","northeast","no"
997.15,16,19,"cauc","yes","northeast","no"
474.83,14,5,"cauc","yes","northeast","no"
403.61,13,12,"cauc","yes","northeast","no"
569.8,13,5,"cauc","no","northeast","no"
878.44,14,24,"cauc","no","northeast","no"
593.54,12,48,"cauc","no","northeast","no"
484.14,12,21,"cauc","yes","northeast","no"
617.28,10,35,"cauc","yes","northeast","no"
1187.08,16,19,"cauc","yes","northeast","no"
878.44,12,35,"cauc","yes","northeast","no"
593.54,12,7,"cauc","yes","northeast","no"
712.25,13,32,"cauc","no","northeast","no"
617.28,8,44,"cauc","no","northeast","no"
320.51,16,8,"cauc","no","northeast","no"
427.35,10,10,"cauc","no","northeast","no"
546.06,16,12,"cauc","no","northeast","no"
422.08,10,43,"cauc","no","northeast","no"
475.64,8,44,"cauc","yes","northeast","no"
213.68,16,8,"cauc","no","northeast","no"
246.91,16,4,"cauc","no","northeast","no"
185.19,12,5,"cauc","no","northeast","no"
409.54,16,19,"cauc","no","northeast","no"
105.51,13,0,"cauc","no","northeast","yes"
303.03,18,33,"cauc","no","northeast","no"
493.83,12,16,"cauc","no","northeast","no"
208.33,12,45,"cauc","yes","northeast","yes"
593.54,10,12,"cauc","no","northeast","no"
395.06,10,50,"cauc","no","northeast","yes"
174.79,16,1,"cauc","yes","northeast","yes"
118.71,16,1,"cauc","yes","northeast","no"
196.41,16,1,"cauc","yes","northeast","yes"
682.57,18,20,"cauc","yes","northeast","no"
1115.86,18,17,"cauc","yes","northeast","no"
648.46,13,26,"cauc","yes","northeast","no"
354.94,12,4,"cauc","yes","northeast","no"
370.37,10,8,"cauc","no","northeast","no"
569.8,12,9,"cauc","no","northeast","no"
673.4,16,24,"cauc","yes","northeast","no"
807.22,14,19,"cauc","yes","northeast","no"
997.15,14,28,"cauc","no","northeast","no"
691.38,12,16,"cauc","no","northeast","no"
124.31,8,49,"cauc","no","northeast","yes"
498.58,12,7,"cauc","no","northeast","no"
221.72,16,38,"cauc","no","northeast","yes"
522.32,12,34,"cauc","yes","northeast","no"
420.23,12,8,"cauc","yes","northeast","no"
415.48,12,5,"cauc","yes","northeast","no"
305.27,12,9,"cauc","yes","northeast","no"
308.95,13,33,"cauc","yes","northeast","no"
1471.89,12,1,"cauc","yes","northeast","no"
720.16,12,21,"cauc","no","northeast","no"
439.22,12,9,"cauc","no","northeast","no"
735.99,12,10,"cauc","no","northeast","no"
805.15,12,29,"cauc","no","northeast","no"
1608.88,18,38,"cauc","no","northeast","no"
830.96,12,12,"cauc","no","northeast","no"
448.72,12,4,"cauc","no","northeast","no"
712.25,12,22,"cauc","yes","northeast","no"
949.67,12,38,"cauc","yes","northeast","no"
439.22,12,19,"cauc","yes","northeast","no"
771.6,12,17,"cauc","yes","northeast","no"
478.4,12,18,"cauc","yes","northeast","no"
1185.19,12,24,"cauc","yes","northeast","no"
231.48,12,17,"cauc","yes","northeast","yes"
185.19,12,48,"cauc","yes","northeast","yes"
1068.38,17,4,"cauc","yes","northeast","no"
474.83,13,8,"cauc","yes","northeast","no"
434.22,11,48,"cauc","yes","northeast","no"
363.25,12,5,"cauc","yes","northeast","no"
498.58,12,36,"cauc","yes","northeast","no"
1305.79,12,13,"cauc","yes","northeast","no"
451.09,12,10,"cauc","yes","northeast","no"
593.54,16,10,"cauc","yes","northeast","no"
555.56,9,33,"cauc","yes","northeast","no"
629.88,14,15,"cauc","yes","northeast","no"
479.77,12,38,"cauc","no","northeast","no"
854.7,17,25,"cauc","no","northeast","no"
546.06,14,15,"cauc","no","northeast","no"
338.32,13,9,"cauc","no","northeast","no"
94.97,12,15,"cauc","no","northeast","yes"
925.93,16,9,"cauc","no","northeast","no"
356.13,12,10,"cauc","no","northeast","no"
1208.85,12,18,"cauc","yes","northeast","no"
1139.6,14,29,"cauc","yes","northeast","no"
498.58,10,7,"cauc","yes","northeast","no"
546.06,14,3,"cauc","no","northeast","no"
1543.21,12,28,"cauc","yes","northeast","no"
617.28,16,2,"cauc","yes","northeast","no"
807.22,16,12,"cauc","yes","northeast","no"
891.07,16,4,"cauc","yes","northeast","no"
538.94,16,4,"cauc","yes","northeast","no"
332.38,16,13,"cauc","no","northeast","yes"
944.92,12,11,"cauc","yes","northeast","no"
1187.08,7,33,"cauc","yes","northeast","no"
854.7,8,24,"cauc","yes","northeast","no"
493.83,11,24,"cauc","yes","northeast","no"
783.48,14,16,"cauc","yes","northeast","no"
624.41,16,7,"cauc","yes","northeast","no"
1092.12,16,17,"cauc","yes","northeast","no"
688.51,16,10,"cauc","yes","northeast","no"
498.58,14,6,"cauc","yes","northeast","no"
676.64,16,10,"cauc","yes","northeast","no"
432.1,13,2,"cauc","yes","northeast","no"
1507.6,17,20,"cauc","yes","northeast","no"
233.99,12,1,"cauc","yes","northeast","no"
1115.86,18,9,"cauc","yes","northeast","no"
122.46,16,41,"cauc","no","northeast","yes"
423.63,12,7,"cauc","yes","northeast","no"
949.67,18,8,"cauc","yes","northeast","no"
586.42,13,4,"cauc","yes","northeast","no"
296.77,12,28,"cauc","yes","northeast","no"
1305.79,12,19,"cauc","yes","northeast","no"
642.21,12,11,"cauc","yes","northeast","no"
1371.74,17,7,"cauc","yes","northeast","no"
830.96,17,9,"cauc","yes","northeast","no"
498.58,2,14,"cauc","yes","northeast","no"
997.15,12,20,"cauc","yes","northeast","no"
213.68,12,17,"cauc","yes","northeast","no"
1305.79,16,6,"cauc","yes","northeast","no"
498.58,14,7,"cauc","yes","northeast","no"
569.8,17,8,"cauc","yes","northeast","no"
474.83,16,12,"cauc","yes","northeast","no"
712.25,16,11,"cauc","yes","northeast","no"
949.67,17,9,"cauc","yes","northeast","no"
415.48,12,27,"cauc","yes","northeast","no"
664.77,17,8,"cauc","yes","northeast","no"
1167.62,14,24,"cauc","yes","northeast","no"
316.87,12,0,"cauc","yes","northeast","no"
451.09,12,7,"cauc","no","northeast","no"
356.13,10,40,"cauc","no","northeast","no"
569.8,12,31,"cauc","no","northeast","no"
308.64,12,2,"cauc","no","northeast","no"
733.62,16,34,"cauc","no","northeast","no"
830.96,12,22,"cauc","no","northeast","no"
902.18,6,42,"cauc","no","northeast","no"
757.58,12,15,"cauc","no","northeast","yes"
593.54,12,12,"cauc","no","northeast","no"
222.22,11,1,"cauc","no","northeast","no"
286.76,12,3,"cauc","no","northeast","no"
434.33,11,15,"cauc","no","northeast","no"
322.72,8,23,"cauc","no","northeast","no"
332.38,12,5,"cauc","no","northeast","no"
296.77,12,4,"cauc","no","northeast","no"
218.42,12,4,"cauc","no","northeast","no"
237.42,12,29,"cauc","no","northeast","yes"
636.28,14,13,"cauc","no","northeast","no"
546.06,9,37,"cauc","no","northeast","no"
63.72,13,-1,"cauc","no","northeast","yes"
700.38,14,7,"cauc","no","northeast","no"
546.06,12,15,"cauc","yes","northeast","no"
451.09,14,4,"cauc","yes","northeast","no"
451.09,12,12,"cauc","no","northeast","no"
1241.69,16,22,"cauc","yes","northeast","no"
321.5,15,1,"cauc","yes","northeast","no"
807.22,12,4,"cauc","yes","northeast","no"
692.81,16,13,"cauc","yes","northeast","no"
474.83,18,9,"cauc","yes","northeast","no"
379.87,10,40,"cauc","yes","northeast","no"
617.28,12,39,"cauc","yes","northeast","no"
498.58,12,41,"cauc","yes","northeast","no"
712.25,8,44,"cauc","yes","northeast","no"
569.8,8,40,"cauc","yes","northeast","no"
821.46,16,8,"cauc","yes","northeast","no"
522.32,12,3,"cauc","yes","northeast","no"
522.32,12,8,"cauc","yes","northeast","no"
522.32,12,5,"cauc","yes","northeast","no"
508.07,14,14,"cauc","yes","northeast","no"
830.96,12,49,"cauc","yes","northeast","no"
712.25,13,6,"cauc","yes","northeast","no"
1185.19,12,11,"cauc","yes","northeast","no"
641.03,12,11,"cauc","yes","northeast","no"
807.41,18,5,"cauc","no","northeast","no"
973.41,18,23,"cauc","yes","northeast","no"
756.58,16,12,"cauc","no","northeast","no"
641.03,14,24,"cauc","no","northeast","no"
821.39,13,35,"cauc","no","northeast","no"
351.08,12,2,"cauc","no","northeast","no"
356.13,8,9,"cauc","yes","northeast","no"
712.25,18,2,"cauc","yes","northeast","no"
796.51,16,14,"cauc","yes","northeast","no"
728.4,16,3,"cauc","yes","northeast","no"
569.8,15,4,"cauc","yes","northeast","no"
820.62,14,13,"cauc","yes","northeast","no"
854.7,13,8,"cauc","yes","northeast","no"
902.18,14,10,"cauc","yes","northeast","no"
1020.89,16,18,"cauc","yes","northeast","no"
688.51,16,36,"cauc","yes","northeast","no"
593.54,12,10,"cauc","no","northeast","no"
472.44,11,20,"cauc","no","northeast","no"
457.67,12,25,"cauc","no","northeast","no"
878.44,12,15,"cauc","no","northeast","no"
452.49,11,14,"cauc","no","northeast","no"
546.06,13,27,"cauc","no","northeast","no"
310.28,10,27,"cauc","no","northeast","no"
569.8,12,7,"cauc","yes","northeast","no"
807.22,16,3,"cauc","yes","northeast","no"
830.96,16,10,"cauc","yes","northeast","no"
807.22,14,29,"cauc","yes","northeast","no"
92.59,12,25,"cauc","yes","northeast","no"
546.06,14,9,"cauc","yes","northeast","no"
830.96,12,7,"cauc","yes","northeast","no"
759.73,14,29,"cauc","yes","northeast","no"
617.28,14,-1,"cauc","yes","northeast","no"
1471.98,16,37,"cauc","yes","northeast","no"
1163.34,14,27,"cauc","yes","northeast","no"
241.55,17,13,"cauc","yes","northeast","no"
759.73,12,17,"cauc","no","northeast","no"
1128.75,12,34,"cauc","no","northeast","no"
757.58,16,7,"cauc","no","northeast","no"
180.04,12,2,"cauc","no","northeast","no"
607.05,7,41,"cauc","no","northeast","no"
427.35,14,16,"cauc","no","northeast","no"
308.64,14,-1,"cauc","no","northeast","no"
2029.91,14,18,"cauc","yes","northeast","no"
900.21,14,19,"cauc","no","northeast","no"
735.99,12,20,"cauc","no","northeast","no"
546.06,16,2,"cauc","no","northeast","no"
403.61,11,27,"cauc","no","northeast","no"
688.51,12,11,"cauc","no","northeast","no"
237.42,18,15,"cauc","no","northeast","no"
712.25,12,5,"cauc","no","northeast","no"
385.8,11,2,"cauc","no","northeast","no"
1210.83,12,16,"cauc","yes","northeast","no"
1495.73,18,20,"cauc","yes","northeast","no"
94.97,8,14,"cauc","yes","northeast","no"
107.74,18,40,"cauc","yes","northeast","yes"
467.71,12,12,"cauc","no","northeast","no"
1187.08,16,33,"cauc","no","northeast","no"
422.6,14,17,"cauc","no","northeast","no"
997.15,14,16,"cauc","no","northeast","no"
949.67,16,38,"cauc","yes","northeast","no"
1234.57,15,4,"cauc","yes","northeast","no"
712.25,12,6,"cauc","yes","northeast","no"
937.1,12,23,"cauc","yes","northeast","no"
534.19,16,3,"cauc","yes","northeast","no"
641.03,14,13,"cauc","yes","northeast","no"
593.54,14,11,"cauc","yes","northeast","no"
890.41,12,32,"cauc","no","northeast","no"
536.89,12,42,"cauc","no","northeast","no"
593.54,8,32,"cauc","yes","northeast","no"
370.37,12,25,"cauc","yes","northeast","no"
344.25,14,1,"cauc","yes","northeast","no"
237.42,12,4,"cauc","yes","northeast","no"
593.54,14,16,"cauc","yes","northeast","no"
280.15,12,31,"cauc","yes","northeast","no"
973.41,12,44,"cauc","yes","northeast","no"
56.79,12,0,"cauc","yes","northeast","yes"
1127.73,17,15,"cauc","yes","northeast","no"
1163.34,12,17,"cauc","yes","northeast","no"
735.99,16,18,"cauc","yes","northeast","no"
105.76,15,-1,"cauc","yes","northeast","yes"
332.38,12,3,"cauc","no","northeast","no"
556.77,10,43,"cauc","no","northeast","no"
259.26,9,11,"cauc","no","northeast","no"
274.35,10,8,"cauc","yes","northeast","no"
296.3,10,41,"cauc","yes","northeast","no"
641.03,12,12,"cauc","no","northeast","no"
712.25,16,16,"cauc","no","northeast","no"
407.31,8,45,"cauc","no","northeast","no"
222.22,10,25,"cauc","no","northeast","no"
130.58,8,38,"cauc","no","northeast","no"
284.9,8,46,"cauc","no","northeast","no"
399.42,12,23,"cauc","no","northeast","no"
315.74,12,3,"cauc","no","northeast","no"
688.51,12,12,"cauc","no","northeast","no"
379.87,16,9,"cauc","no","northeast","no"
580.97,16,-1,"cauc","no","northeast","no"
419.75,18,41,"cauc","no","northeast","no"
427.35,12,12,"cauc","no","northeast","no"
712.25,12,12,"cauc","no","northeast","no"
448.72,16,20,"cauc","no","northeast","no"
997.15,14,13,"cauc","no","northeast","no"
126.62,12,43,"cauc","no","northeast","yes"
874.49,16,16,"cauc","no","northeast","no"
686.73,10,17,"cauc","no","northeast","no"
166.19,9,8,"cauc","no","northeast","no"
1234.57,14,16,"cauc","yes","northeast","no"
451.09,12,15,"cauc","yes","northeast","no"
493.83,12,16,"cauc","no","northeast","no"
401.23,12,8,"cauc","no","northeast","no"
500.95,14,24,"cauc","no","northeast","no"
617.28,12,12,"cauc","no","northeast","no"
293.21,12,2,"cauc","no","northeast","no"
3600.82,18,27,"cauc","yes","northeast","no"
474.83,16,4,"cauc","yes","northeast","no"
189.93,15,4,"cauc","yes","northeast","yes"
471.79,12,4,"cauc","yes","northeast","no"
1816.24,16,30,"cauc","yes","northeast","no"
1448.24,13,32,"cauc","yes","northeast","no"
356.13,12,1,"cauc","yes","northeast","no"
474.83,12,4,"cauc","yes","northeast","no"
925.93,6,33,"cauc","no","northeast","no"
522.32,18,32,"cauc","no","northeast","no"
517.19,12,26,"cauc","yes","northeast","no"
712.25,9,16,"cauc","yes","northeast","no"
776.64,12,21,"cauc","yes","northeast","no"
854.7,12,13,"cauc","yes","northeast","no"
584.05,12,14,"cauc","yes","northeast","no"
657.64,12,34,"cauc","yes","northeast","no"
174.85,12,0,"cauc","yes","northeast","no"
819.09,17,3,"cauc","no","northeast","no"
522.32,12,15,"cauc","no","northeast","no"
811.32,12,17,"cauc","yes","northeast","no"
427.35,17,2,"cauc","yes","northeast","no"
783.48,17,14,"cauc","yes","northeast","no"
451.09,15,19,"cauc","no","northeast","no"
125.9,12,47,"cauc","yes","northeast","yes"
1044.63,12,26,"cauc","yes","northeast","no"
1139.6,18,13,"cauc","yes","northeast","no"
206.55,12,0,"cauc","yes","northeast","no"
1115.86,18,26,"cauc","yes","northeast","no"
458.55,16,10,"cauc","yes","northeast","no"
628.82,13,17,"cauc","yes","northeast","no"
524.69,12,22,"cauc","yes","northeast","no"
707.5,12,24,"cauc","no","northeast","no"
474.83,12,14,"cauc","no","northeast","no"
830.96,16,16,"cauc","no","northeast","no"
688.51,16,3,"cauc","no","northeast","no"
352.73,12,16,"cauc","yes","northeast","no"
113.98,10,47,"cauc","yes","northeast","yes"
783.48,14,27,"cauc","yes","northeast","no"
854.7,12,4,"cauc","no","northeast","no"
498.58,10,37,"cauc","no","northeast","no"
1270.18,16,22,"cauc","no","northeast","no"
745.01,18,21,"cauc","no","northeast","no"
627.57,15,-1,"cauc","no","northeast","no"
186.42,13,-1,"cauc","no","northeast","yes"
356.13,12,13,"cauc","no","northeast","no"
314.69,18,11,"cauc","no","northeast","no"
385.3,8,47,"cauc","no","northeast","no"
166.19,11,17,"cauc","no","northeast","no"
641.03,16,15,"cauc","no","northeast","no"
436.59,14,8,"cauc","no","northeast","no"
222.22,12,48,"cauc","yes","northeast","no"
997.15,12,31,"cauc","yes","northeast","no"
474.83,11,14,"cauc","yes","northeast","no"
451.09,12,17,"cauc","no","northeast","no"
712.25,12,9,"cauc","no","northeast","no"
366.74,13,15,"cauc","no","northeast","no"
336.7,14,19,"cauc","no","northeast","no"
213.58,12,48,"cauc","no","northeast","no"
394.11,12,6,"cauc","no","northeast","no"
712.25,13,13,"cauc","yes","northeast","no"
902.18,12,17,"cauc","no","northeast","no"
1358.02,14,36,"cauc","no","northeast","no"
461.49,12,4,"cauc","yes","northeast","no"
636.02,12,40,"cauc","no","northeast","no"
510.45,15,19,"cauc","yes","northeast","no"
510.45,14,5,"cauc","yes","northeast","no"
276.95,14,19,"cauc","no","northeast","no"
666.67,12,22,"cauc","yes","northeast","no"
712.25,16,18,"cauc","no","northeast","no"
766.86,18,15,"cauc","no","northeast","no"
474.83,12,10,"cauc","no","northeast","no"
427.35,12,27,"cauc","no","northeast","no"
410.49,9,38,"cauc","no","northeast","no"
493.83,8,32,"cauc","no","northeast","no"
942.55,18,27,"cauc","no","northeast","no"
87.84,13,0,"cauc","no","northeast","yes"
522.32,16,14,"cauc","no","northeast","no"
522.32,12,10,"cauc","no","northeast","no"
338.9,12,2,"cauc","no","northeast","no"
1899.34,16,29,"cauc","no","northeast","no"
123.46,13,0,"cauc","no","northeast","yes"
997.63,16,11,"cauc","yes","northeast","no"
617.28,12,17,"cauc","yes","northeast","no"
925.93,12,41,"cauc","yes","northeast","no"
854.7,12,40,"cauc","no","northeast","no"
617.28,16,-1,"cauc","no","northeast","no"
754.99,12,17,"cauc","no","northeast","no"
427.35,18,19,"cauc","yes","northeast","no"
497.01,18,12,"cauc","yes","northeast","no"
439.22,12,17,"cauc","no","northeast","no"
1305.79,12,28,"cauc","no","northeast","no"
593.54,12,9,"cauc","yes","northeast","no"
394.11,16,8,"cauc","yes","northeast","no"
365.73,13,21,"cauc","no","northeast","no"
724.51,18,19,"cauc","no","northeast","no"
496.01,8,33,"cauc","no","northeast","no"
90.22,12,43,"cauc","no","northeast","no"
441.36,14,25,"cauc","no","northeast","no"
973.41,12,22,"cauc","no","northeast","no"
712.25,14,10,"cauc","no","northeast","no"
182.5,13,18,"cauc","no","northeast","no"
740.74,17,15,"cauc","no","northeast","no"
411.7,12,19,"cauc","no","northeast","no"
178.06,16,3,"cauc","no","northeast","no"
107.19,16,3,"cauc","no","northeast","no"
498.58,12,34,"cauc","no","northeast","no"
