Date,AAPL_Price,XOM_Price,TGT_Price,MCD_Price
10/31/2013,73.02,87.18,62.85,93.35
11/1/2013,72.65,87.38,62.69,94.05
11/4/2013,73.59,89.6,63.27,94.11
11/5/2013,73.41,89.49,62.7,94.21
11/6/2013,73.2,90.69,63.73,94.69
11/7/2013,72.01,90.07,62.88,94.01
11/8/2013,73.15,90.82,63.16,93.82
11/11/2013,72.94,91.05,63.72,93.9
11/12/2013,73.07,90.77,63.48,94.45
11/13/2013,73.16,90.69,64.87,94.89
11/14/2013,74.22,91.3,64.68,94.36
11/15/2013,73.77,93.31,64.89,93.74
11/18/2013,72.88,93.49,64.88,94.44
11/19/2013,73.01,93.46,65.05,94.76
11/20/2013,72.37,92.73,64.92,94.34
11/21/2013,73.23,92.74,62.67,94.49
11/22/2013,73.04,93.06,62.19,95.04
11/25/2013,73.6,93.14,62.25,95.67
11/26/2013,74.95,92.33,62.36,94.98
11/27/2013,76.72,91.87,62.89,94.65
11/29/2013,78.14,91.56,62.42,94.96
12/2/2013,77.46,91.6,61.25,94.12
12/3/2013,79.58,92.45,61.33,93.99
12/4/2013,79.39,92.72,61.81,93.34
12/5/2013,79.8,92.2,61.15,93.06
12/6/2013,78.69,93.68,61.88,94.4
12/9/2013,79.59,93.87,61.74,93.35
12/10/2013,79.47,93.74,61.67,93.06
12/11/2013,78.88,92.32,61.44,92.9
12/12/2013,78.77,93.4,61.4,91.77
12/13/2013,77.91,93.35,60.89,92.1
12/16/2013,78.34,95.22,60.7,93.08
12/17/2013,77.99,94.76,60.19,92.04
12/18/2013,77.39,97.49,62.05,93.55
12/19/2013,76.51,97.39,60.68,92.78
12/20/2013,77.15,96.65,61.01,94.12
12/23/2013,80.11,96.49,60.42,93.91
12/24/2013,79.77,97.18,60.25,94.15
12/26/2013,79.24,98.83,61,94.44
12/27/2013,78.7,99.42,60.68,94.51
12/30/2013,77.92,98.25,60.99,94.6
12/31/2013,78.83,99.12,61.77,94.62
