Date,Pecos_flow,SJ_East_flow,SJ_West_flow,Plains_N_flow,Plains_S_flow,Socal regions inflow:,Socal_Ehrenberg_inflow,Socal_Topock_inflow,,socal_val,El Paso Permian INDEX_VAL,El Paso SanJuan INDEX_VAL
10/23/2007,1065366,464588,2236000,153841,321025,,908000,514000,,6.68,6.34,6.3
10/25/2007,1131669,487905,2155000,122734,389126,,999000,544000,,6.51,5.915,5.93
10/26/2007,979467,433453,2172000,161927,300299,,783000,516000,,6.58,6.205,6.15
10/27/2007,1016758,625282,1935300,182790,442724,,474000,497000,,6.055,5.885,5.735
10/28/2007,1029468,648725,1828000,185445,464592,,448000,477000,,6.055,5.885,5.735
10/29/2007,1111667,619639,1928000,180262,444500,,509000,491000,,6.055,5.885,5.735
10/30/2007,1150032,476088,2043000,162505,331726,,885000,503000,,6.85,6.46,6.255
10/31/2007,1143708,537065,2006000,120560,362491,,901000,517000,,7.18,6.79,6.605
11/4/2007,928448,398694,2206000,94619,293022,,788000,459000,,5.725,5.485,5.16
11/5/2007,997543,458499,2182000,95182,351009,,874000,447000,,5.725,5.485,5.16
11/6/2007,1031885,431925,2176000,115157,341095,,983000,429000,,6.545,6.08,5.92
11/7/2007,960756,449752,2153000,129010,337462,,1012000,486000,,6.985,6.46,6.22
11/8/2007,916246,355077,2174000,104416,280749,,985000,473000,,6.775,6.23,5.76
11/9/2007,1037256,438169,2206000,97127,383594,,1004000,525000,,6.265,5.76,5.75
11/10/2007,848258,482032,2206000,133626,354199,,936000,545000,,5.395,5.09,4.975
11/11/2007,795508,433685,2206000,136764,301716,,961000,543000,,5.395,5.09,4.975
11/12/2007,896919,517276,2174000,144489,377318,,934000,516000,,5.395,5.09,4.975
11/13/2007,800269,338242,2172321,123552,221035,,980000,490000,,5.71,5.415,5.385
11/14/2007,959534,506215,2174000,147977,375421,,977000,509000,,6.12,5.695,5.52
11/15/2007,794488,425368,2078628,168451,251007,,835000,421000,,5.25,5.15,4.745
11/16/2007,793249,335313,2177854,183750,136156,,876000,457000,,4.985,4.755,4.625
11/17/2007,749878,407711,2178000,206639,190422,,745000,445000,,4.615,4.485,4.265
11/18/2007,678981,354631,2263947,206631,138782,,733000,456000,,4.615,4.485,4.265
11/19/2007,736377,342935,2269791,207901,126352,,762000,447000,,4.615,4.485,4.265
11/20/2007,1006455,432066,2271000,163147,280616,,0,0,,5.615,5.36,5.145
11/21/2007,998189,449519,2271000,111186,329667,,862000,514000,,5.835,5.63,5.445
11/22/2007,659490,303818,2273000,145486,132549,,602000,480000,,5.08,5.02,4.72
11/23/2007,657881,289994,2273000,147428,118460,,604000,476000,,5.08,5.02,4.72
11/24/2007,650186,262042,2273000,146927,91040,,578000,473000,,5.08,5.02,4.72
11/25/2007,590963,250000,2222157,138372,91659,,562000,450000,,5.08,5.02,4.72
11/26/2007,811438,289519,2228090,140175,129090,,556000,454000,,5.08,5.02,4.72
11/27/2007,1029822,504824,2070000,139691,350720,,446000,408000,,7.21,7.07,6.95
11/28/2007,972711,265586,2070000,127287,170310,,568000,452000,,7.285,7.055,7.1
12/1/2007,977971,250000,2175373,76585,212161,,818000,511000,,6.86,6.35,6.365
12/2/2007,937952,250000,2221525,81468,206797,,851000,523000,,6.86,6.35,6.365
12/3/2007,967671,250000,2212372,75952,212700,,820000,521000,,6.86,6.35,6.365
12/4/2007,862956,250000,2175617,31323,260114,,826000,471000,,6.68,6.325,6.28
12/5/2007,976330,250000,2137947,28677,261709,,851000,439000,,6.915,6.595,6.575
12/6/2007,960295,250000,2206679,33976,256627,,1010000,518000,,6.755,6.325,6.285
12/7/2007,988651,250000,2252370,30589,259669,,1017000,444000,,6.91,6.43,6.405
12/8/2007,928491,250000,2224945,49005,239929,,1012000,494000,,6.825,6.335,6.33
12/9/2007,941847,250000,2196135,48331,240256,,961000,446000,,6.825,6.335,6.33
12/10/2007,1090232,250000,2171984,47487,241193,,886000,454000,,6.825,6.335,6.33
12/11/2007,1150720,388989,2046274,40739,381882,,648000,418000,,6.805,6.54,6.495
12/12/2007,1056547,383352,1978661,34994,372473,,603000,378000,,6.93,6.72,6.705
12/13/2007,1049554,281094,2091258,38181,281943,,630000,389000,,7.03,6.82,6.82
12/15/2007,1062105,250000,1939804,19976,270293,,657000,363000,,6.9,6.645,6.605
12/16/2007,1086277,250000,1954676,20605,270951,,616000,360000,,6.9,6.645,6.605
12/17/2007,1093998,250000,2083459,21471,269227,,625000,385000,,6.9,6.645,6.605
12/18/2007,965200,329528,2002446,20941,342557,,721000,239000,,6.895,6.7,6.705
12/19/2007,979961,309532,2094593,8959,337963,,789000,246000,,6.995,6.75,6.775
12/20/2007,991667,250000,2223741,9184,280891,,643000,389000,,6.95,6.635,6.63
12/21/2007,1159942,217366,2288749,0,253377,,702000,421000,,6.915,6.575,6.575
12/22/2007,1108758,250000,2204597,0,279122,,716000,406000,,6.855,6.51,6.5
12/23/2007,1094019,250000,2134034,0,280653,,701000,391000,,6.855,6.51,6.5
12/24/2007,1001897,250000,2136083,0,280060,,701000,435000,,6.855,6.51,6.5
12/25/2007,976343,250000,2181807,0,280093,,700000,448000,,6.855,6.51,6.5
12/26/2007,1088114,250000,2082488,0,278811,,683000,423000,,6.855,6.51,6.5
12/27/2007,1114859,250000,1936832,9445,274898,,636000,357000,,6.825,6.515,6.515
12/28/2007,1118770,250000,1809624,2355,276093,,597000,331000,,6.76,6.425,6.43
12/29/2007,1020479,250000,1809470,0,285385,,630000,325000,,6.76,6.425,6.43
12/30/2007,995266,250000,1808668,0,278591,,639000,341000,,6.76,6.425,6.43
12/31/2007,1021819,250000,1817639,0,277096,,615000,335000,,6.76,6.425,6.43
1/1/2008,1007178,250000,1802672,0,253331,,622000,290000,,6.875,6.64,6.59
1/2/2008,1068906,250000,1791198,0,249865,,652000,242000,,6.875,6.64,6.59
1/3/2008,949292,250000,2013554,0,268688,,484000,350000,,7.51,7.35,7.34
1/6/2008,1003649,250000,2216051,0,279109,,884000,486000,,7.205,6.86,6.855
1/7/2008,1180091,237346,2173983,0,268590,,773000,445000,,7.205,6.86,6.855
1/8/2008,1206000,192036,2006320,0,233522,,626000,365000,,7.35,7.075,7.065
1/9/2008,1160090,250000,2002024,0,319797,,597000,298000,,7.39,7.135,7.13
1/10/2008,1016575,250000,2089339,0,285121,,566000,358000,,7.56,7.345,7.355
1/11/2008,1022043,250000,1977066,0,277716,,585000,347000,,7.52,7.26,7.3
1/12/2008,982459,250000,1930261,10466,218031,,707000,345000,,7.61,7.35,7.34
1/13/2008,974659,250000,1939590,8441,217885,,693000,344000,,7.61,7.35,7.34
1/14/2008,1058844,250000,1914337,10351,211254,,639000,323000,,7.61,7.35,7.34
1/15/2008,1134043,303905,1953059,0,289693,,511000,219000,,7.83,7.68,7.65
1/16/2008,1126417,382009,1844510,0,364845,,498000,279000,,7.95,7.895,7.855
1/17/2008,1109726,250000,1644751,8834,225766,,540000,220000,,7.87,7.925,7.81
1/18/2008,1108085,300087,1730873,8295,279219,,577000,231000,,7.83,7.87,7.77
1/19/2008,1092762,364975,1712367,96191,246776,,596000,200000,,8.03,8.03,7.98
1/20/2008,1005945,395768,1793237,96119,289013,,696000,235000,,8.03,8.03,7.98
1/21/2008,973018,415901,1787729,103112,299265,,655000,236000,,8.03,8.03,7.98
1/22/2008,982083,407375,1816850,99998,296471,,663000,254000,,8.03,8.03,7.98
1/23/2008,987544,430118,1873045,127959,299649,,614000,222000,,7.63,7.565,7.505
1/27/2008,825604,250000,2047674,44826,193171,,591000,377000,,7.57,7.31,7.345
1/28/2008,928662,250000,2053104,46316,193435,,667000,292000,,7.57,7.31,7.345
1/29/2008,893220,250000,1877409,23772,214369,,627000,231000,,7.685,7.455,7.455
1/30/2008,969715,250000,1988067,56990,217414,,616000,214000,,7.895,7.685,7.715
1/31/2008,959404,250000,1911769,14856,236264,,604000,186000,,7.935,7.74,7.75
2/1/2008,1035043,250000,2014710,18525,246856,,688000,465000,,7.98,7.74,7.745
2/2/2008,1018788,250000,1894486,40763,227600,,708000,421000,,7.72,7.45,7.43
2/3/2008,1016571,250000,1888758,40753,227601,,742000,401000,,7.72,7.45,7.43
2/4/2008,1164074,233309,1934136,39936,211583,,715000,403000,,7.72,7.45,7.43
2/5/2008,1047131,67683,2032525,44126,41630,,695000,350000,,7.51,7.19,7.185
2/6/2008,1014834,155917,1893498,18150,154906,,529000,240000,,7.8,7.52,7.51
2/7/2008,974156,212367,1938299,3140,241155,,588000,362000,,7.885,7.61,7.625
2/8/2008,988369,242530,1957438,27113,244322,,734000,419000,,7.865,7.58,7.58
2/9/2008,1130579,250000,1896573,58864,212437,,982000,356000,,7.84,7.515,7.485
2/10/2008,1142456,250000,1919954,63556,210549,,1023000,349000,,7.84,7.515,7.485
2/11/2008,1093244,149108,2024128,63552,108628,,1018000,360000,,7.84,7.515,7.485
2/12/2008,962339,250000,2072109,69029,195943,,718000,301000,,8.035,7.795,7.745
2/13/2008,907220,250000,2110001,54823,215580,,677000,362000,,8.02,7.76,7.72
2/14/2008,931515,250000,2027014,91035,159868,,668000,394000,,8.025,7.775,7.75
2/15/2008,742141,250000,2030457,112657,102540,,518000,368000,,8.16,7.92,7.88
2/16/2008,820922,250000,2132730,103334,147889,,641000,418000,,8.335,8.08,8.04
2/17/2008,788867,250000,2053540,102181,149287,,650000,395000,,8.335,8.08,8.04
2/18/2008,859635,250000,2084111,103487,147879,,654000,392000,,8.335,8.08,8.04
2/19/2008,841219,250000,2088066,102701,148766,,642000,391000,,8.335,8.08,8.04
2/20/2008,774836,250000,1964438,125207,128649,,580000,359000,,8.555,8.32,8.29
2/21/2008,858511,250000,2027436,118349,144769,,563000,370000,,8.595,8.37,8.33
2/22/2008,907736,250000,2175923,91349,180682,,687000,467000,,8.405,8.16,8.1
2/23/2008,1012459,250000,2147473,42323,231123,,899000,472000,,8.225,7.92,7.845
2/24/2008,977921,250000,2114364,43687,229969,,899000,439000,,8.225,7.92,7.845
2/25/2008,1104375,250000,2065406,42608,231012,,882000,404000,,8.225,7.92,7.845
2/26/2008,898245,250000,2116660,103134,169673,,758000,358000,,8.605,8.335,8.23
2/27/2008,1028277,250000,2112532,45377,220280,,756000,336000,,8.675,8.355,8.275
2/28/2008,1048797,250000,2195809,24358,251732,,843000,504000,,8.665,8.41,8.33
2/29/2008,965749,250000,2188173,70644,192884,,841000,518000,,8.53,8.27,8.185
3/1/2008,662603,250000,2210154,128538,150960,,944000,517000,,8.345,8.1,8
3/2/2008,656692,250000,2228048,128825,149663,,934000,525000,,8.345,8.1,8
3/3/2008,839737,250000,2207972,124085,142131,,961000,525000,,8.345,8.1,8
3/4/2008,866968,250000,2141390,82271,203109,,888000,509000,,8.82,8.535,8.445
3/5/2008,817915,250000,2209897,43754,243552,,812000,537000,,9.025,8.79,8.765
3/6/2008,743117,250000,2112391,42927,189861,,657000,514000,,9.095,8.91,8.865
3/7/2008,687468,250000,2069937,84293,170406,,534000,422000,,9.405,9.21,9.105
3/8/2008,840499,301784,2157000,67937,272011,,668000,501000,,9.34,9.135,9.085
3/9/2008,846506,314413,2157000,67576,284144,,651000,507000,,9.34,9.135,9.085
3/10/2008,857002,273884,2153000,69284,241864,,641000,504000,,9.34,9.135,9.085
3/11/2008,914919,335396,2153000,31346,335084,,801000,518000,,9.13,8.875,8.78
3/12/2008,1035608,398861,2153000,33332,391931,,984000,530000,,9.36,9.055,9.005
3/13/2008,1066557,439056,2162000,39964,424528,,961000,529000,,9.16,8.79,8.715
3/14/2008,847957,447046,2157000,90059,385608,,679000,541000,,8.86,8.635,8.48
3/15/2008,793999,340967,2157000,65871,292278,,733000,476000,,8.91,8.615,8.44
3/16/2008,921536,454328,2117000,66427,405031,,830000,511000,,8.91,8.615,8.44
3/17/2008,1098499,508113,2095000,86227,437576,,860000,519000,,8.91,8.615,8.44
3/18/2008,1146343,515899,2091000,89889,449916,,842000,502000,,8.995,8.705,8.51
3/19/2008,1159595,503004,2062000,78009,449302,,864000,498000,,8.65,8.33,8.175
3/20/2008,972709,405806,2091000,87410,345457,,789000,489000,,8.595,8.335,8.115
3/21/2008,529153,250000,2177985,144849,125638,,589000,467000,,7.725,7.54,7.325
3/22/2008,588563,250000,2177778,137546,132643,,602000,453000,,7.725,7.54,7.325
3/23/2008,549638,250000,2169623,139353,134451,,571000,403000,,7.725,7.54,7.325
3/24/2008,701256,279100,2154000,138157,163160,,635000,466000,,7.725,7.54,7.325
3/25/2008,1043064,424430,2154000,49122,418230,,874000,525000,,8.605,8.225,8.11
3/26/2008,1004179,422566,2154000,54555,406965,,815000,525000,,8.55,8.385,8.28
3/27/2008,1057047,482348,2104000,73840,448054,,891000,507000,,8.58,8.3,8.225
3/28/2008,1073564,488477,2104000,79800,448575,,909000,486000,,8.615,8.33,8.215
3/29/2008,1120640,487111,2125000,72297,448476,,934000,502000,,8.785,8.44,8.255
3/30/2008,1131083,491007,2119000,71143,449759,,936000,494000,,8.785,8.44,8.255
3/31/2008,1137356,476245,2102000,78628,431235,,954000,505000,,8.785,8.44,8.255
4/1/2008,1114406,406722,2001000,39277,395218,,800000,528000,,9.6,9.26,9.045
4/2/2008,1020388,464744,2001000,45724,449546,,709000,537000,,9.625,9.32,9.07
4/3/2008,1116104,435788,1901000,27692,443554,,864000,519000,,9.335,8.98,8.775
4/4/2008,987385,325447,2109000,22492,340429,,892000,524000,,9.405,9.05,8.935
4/5/2008,1099863,423395,2109000,1558,449991,,931000,538000,,8.875,8.535,8.36
4/6/2008,1073750,425111,2109000,25248,430146,,1000000,533000,,8.875,8.535,8.36
4/7/2008,1107278,440122,2109000,22782,450000,,948000,533000,,8.875,8.535,8.36
4/8/2008,943278,311886,2104000,43653,309556,,849000,512000,,9.115,8.735,8.49
4/9/2008,1033582,416593,2104000,23287,424407,,835000,540000,,9.37,9.05,8.83
4/10/2008,1101343,436477,2104000,31446,427374,,768000,539000,,9.485,9.17,8.97
4/11/2008,947280,339326,2109000,27460,342942,,761000,465000,,9.7,9.415,9.28
4/12/2008,993418,428877,2112000,15568,450000,,817000,543000,,9.475,9.215,9.055
4/13/2008,1034147,429866,2109000,15570,449999,,805000,544000,,9.475,9.215,9.055
4/14/2008,1055974,420436,2106000,14505,441880,,822000,530000,,9.475,9.215,9.055
4/15/2008,1152429,293016,1928000,0,339426,,899000,460000,,9.71,9.38,9.4
4/16/2008,1156000,249906,1935497,0,319554,,792000,480000,,9.735,9.39,9.4
4/17/2008,1125768,418849,2110000,38983,415234,,885000,536000,,9.7,9.295,9.185
4/18/2008,1133341,382830,2113000,0,430560,,980000,508000,,9.87,9.455,9.395
4/19/2008,1020693,348644,2109000,0,402999,,994000,520000,,9.66,9.265,9.16
4/20/2008,953138,300004,2109000,0,355533,,995000,523000,,9.66,9.265,9.16
4/21/2008,1036595,372481,2109000,0,403495,,983000,527000,,9.66,9.265,9.16
4/22/2008,1062598,417940,2119000,1901,449977,,912000,538000,,10.135,9.775,9.385
4/23/2008,1126121,431488,2113000,0,378281,,912000,528000,,10.18,9.49,9.03
4/24/2008,1075449,464662,2109000,10980,449979,,995000,542000,,9.995,9.465,8.57
4/25/2008,1129877,454935,2109000,0,438287,,986000,546000,,10.205,9.755,9.01
4/26/2008,1040157,427278,2076000,6714,449997,,996000,533000,,10.235,9.82,9.58
4/27/2008,970411,428419,2071000,3227,449999,,986000,539000,,10.235,9.82,9.58
4/28/2008,1098416,440609,2055000,15813,449848,,838000,539000,,10.235,9.82,9.58
4/29/2008,1139850,452807,1976000,0,443831,,937000,535000,,10.52,9.985,9.5
4/30/2008,1053234,314578,2076000,0,332146,,988000,540000,,10.415,9.885,9.525
5/1/2008,1081214,374772,2135000,0,383132,,926000,532000,,10.355,9.81,9.3
5/2/2008,1046360,320765,2233000,0,421737,,1008000,518000,,10.09,9.635,9.305
5/3/2008,778669,273462,2228000,0,369681,,739000,519000,,9.26,8.99,8.655
5/4/2008,822059,280629,2228000,0,376876,,738000,517000,,9.26,8.99,8.655
5/5/2008,914333,285107,2228000,0,384390,,802000,521000,,9.26,8.99,8.655
5/6/2008,922628,254444,2200000,0,363749,,1002000,539000,,10.165,9.625,9.315
5/7/2008,930669,250000,2233304,0,375862,,971000,539000,,10.295,9.765,9.505
5/8/2008,772194,336438,2071887,0,425432,,736000,515000,,9.515,9.205,9.095
5/10/2008,793845,332410,2240000,0,448595,,724000,538000,,9.515,9.28,8.97
5/11/2008,807873,334070,2238000,0,445793,,734000,537000,,9.515,9.28,8.97
5/12/2008,888373,338701,2217000,0,447733,,829000,537000,,9.515,9.28,8.97
5/13/2008,1075278,557051,2067477,4067,448298,,971000,534000,,10.6,9.735,6.09
5/14/2008,1118556,555399,2177496,15671,442790,,953000,532000,,10.35,9.535,5.815
5/15/2008,932000,603819,2212000,75855,407664,,967000,529000,,10.79,10.165,6.73
5/16/2008,933000,559870,2238000,41000,393287,,935000,533000,,10.825,10.235,8.28
5/17/2008,977187,455668,2238000,36896,346202,,869000,535000,,10.665,10.02,9.015
5/18/2008,1131000,565058,2091861,49261,427538,,912000,517000,,10.665,10.02,9.015
5/19/2008,1081568,553859,2121336,50576,430775,,794000,491000,,10.665,10.02,9.015
5/20/2008,1105007,435135,2250708,4591,449941,,598000,508000,,10.475,10.095,9.575
5/21/2008,1034429,250000,2084912,0,382269,,858000,500000,,10.465,10.065,9.14
5/24/2008,445055,267784,2012139,166212,85160,,577000,549000,,8.56,8.735,8.2
5/25/2008,427358,250000,2034221,152237,76403,,618000,523000,,8.56,8.735,8.2
5/26/2008,439493,256498,2051456,155680,79476,,585000,528000,,8.56,8.735,8.2
5/27/2008,535117,265142,2012619,165136,78690,,585000,522000,,8.56,8.735,8.2
5/28/2008,998699,383971,1935000,0,449483,,969000,518000,,10.385,9.85,9.6
5/29/2008,932988,364140,2028000,0,395223,,940000,535000,,9.815,9.2,8.895
5/30/2008,706465,250000,2191935,4850,270816,,719000,529000,,8.665,8.62,8.255
5/31/2008,689941,250000,2118023,16222,273905,,677000,524000,,8.665,8.62,8.255
6/1/2008,665946,250000,2149855,51151,213447,,683000,531000,,8.57,8.425,8.37
6/2/2008,739328,250000,2149751,50881,217590,,621000,516000,,8.57,8.425,8.37
6/3/2008,899064,288531,2188000,0,385917,,999000,541000,,10.77,10.255,10.12
6/4/2008,823902,274151,2170000,0,384791,,901000,535000,,11.065,10.705,10.425
6/5/2008,749922,466911,2185000,147378,352859,,948000,536000,,10.455,10.02,9.97
6/6/2008,808278,408267,2200000,140913,289518,,900000,531000,,10.42,10,9.875
6/7/2008,676823,317525,2200000,141960,195944,,606000,516000,,9.69,9.66,9.4
6/8/2008,591076,252156,2200000,141606,130701,,635000,513000,,9.69,9.66,9.4
6/9/2008,849650,433303,2055500,141885,307949,,615000,511000,,9.69,9.66,9.4
6/10/2008,993094,250000,2021136,0,296109,,885000,507000,,11.185,10.835,10.82
6/11/2008,1031988,358764,2050000,0,396659,,967000,524000,,11.665,11.16,11.135
6/12/2008,998842,353659,2121000,0,375061,,988000,533000,,11.415,10.935,10.84
6/13/2008,1042357,272664,2125000,0,362636,,942000,534000,,11.435,10.91,10.76
6/14/2008,1040254,268693,2121000,0,367504,,650000,533000,,10.785,10.675,10.255
6/15/2008,1024189,285951,2121000,0,389719,,708000,529000,,10.785,10.675,10.255
6/16/2008,959197,5,1989279,0,169336,,571000,449000,,10.785,10.675,10.255
6/17/2008,1009929,26057,2200000,0,204306,,652000,519000,,12.055,11.715,11.535
6/18/2008,1031915,200942,2190000,0,320404,,663000,516000,,12.21,11.89,11.755
6/19/2008,1041099,207103,2190000,0,305123,,914000,502000,,12.425,11.895,11.79
6/20/2008,1050781,307071,2200000,0,427779,,930000,538000,,12.68,12,11.94
6/21/2008,1048146,190453,2220000,0,331205,,671000,535000,,12.025,11.68,11.335
6/22/2008,1041415,207449,2200000,0,340587,,600000,537000,,12.025,11.68,11.335
6/23/2008,1020379,233386,2161000,0,373864,,582000,523000,,12.025,11.68,11.335
6/24/2008,1035223,322996,2161000,0,439741,,724000,539000,,12.48,12.035,11.81
6/25/2008,949118,219286,2200000,0,274544,,554000,520000,,12.545,12.065,11.895
6/26/2008,972837,191101,2213000,0,330708,,649000,534000,,12.17,11.76,11.645
6/27/2008,983046,239652,2200000,0,322848,,555000,506000,,11.845,11.505,11.33
6/28/2008,1062114,391639,2208000,0,417901,,675000,528000,,12.055,11.775,11.585
6/29/2008,1074477,354437,2200000,0,445708,,676000,536000,,12.055,11.775,11.585
6/30/2008,1083650,367436,2200000,0,438286,,690000,534000,,12.055,11.775,11.585
7/1/2008,1115876,334380,2197558,0,362901,,831000,537000,,12.665,12.15,11.855
7/2/2008,1105887,398249,2200000,0,441954,,927000,542000,,12.525,11.955,11.42
7/3/2008,1101539,330807,2200000,0,394584,,876000,539000,,12.395,11.775,11.145
7/4/2008,883497,239021,2200000,0,277802,,743000,499000,,11.47,10.965,10.24
7/5/2008,982248,328608,2200000,0,364765,,765000,519000,,11.47,10.965,10.24
7/6/2008,980547,332871,2200000,0,367981,,763000,518000,,11.47,10.965,10.24
7/7/2008,897725,307625,2188000,0,326309,,681000,515000,,11.47,10.965,10.24
7/8/2008,1035948,400741,2092000,0,441807,,860000,541000,,12.53,11.915,11.215
7/9/2008,1090427,342464,2082000,0,382523,,967000,535000,,11.86,11.09,10.38
7/10/2008,1059864,266088,2210000,0,354732,,1009000,545000,,11.425,10.515,9.95
7/11/2008,1042640,302851,2200000,0,401663,,942000,540000,,10.945,10.19,9.735
7/12/2008,997731,326967,2200000,0,355712,,831000,539000,,10.72,10.16,9.795
7/13/2008,940717,220581,2200000,0,259125,,777000,520000,,10.72,10.16,9.795
7/14/2008,1090004,424859,2060000,0,435034,,788000,526000,,10.72,10.16,9.795
7/15/2008,1102111,333956,2112000,0,409274,,955000,539000,,10.82,10.215,9.32
7/16/2008,1101281,336498,2097000,0,376636,,988000,512000,,10.985,10.305,9.62
7/17/2008,1049782,222260,2197287,0,293839,,970000,509000,,10.47,9.935,9.5
7/18/2008,1079283,249753,2200000,0,349881,,834000,536000,,10.44,10.08,9.625
7/19/2008,947679,215611,2200000,0,329684,,675000,531000,,9.53,9.06,8.53
7/20/2008,1006866,280600,2120844,0,380384,,708000,535000,,9.53,9.06,8.53
7/21/2008,994448,206974,2200000,0,290005,,685000,518000,,9.53,9.06,8.53
7/22/2008,1109628,345996,1971000,0,431495,,598000,525000,,9.845,9.4,8.98
7/23/2008,1088909,379925,2010000,0,378073,,618000,534000,,9.515,9.03,8.785
7/24/2008,949270,215854,2200000,0,269467,,464000,513000,,9.365,9.035,8.79
7/25/2008,1092154,331183,2122040,0,350358,,634000,544000,,9.235,9.015,8.73
7/26/2008,844126,259277,2200000,0,289738,,444000,482000,,8.635,8.405,8.19
7/27/2008,865723,278962,2200000,0,307790,,488000,491000,,8.635,8.405,8.19
7/28/2008,893558,241616,2167397,0,275315,,465000,505000,,8.635,8.405,8.19
7/29/2008,876424,312912,2091000,0,347534,,497000,511000,,8.62,8.305,8.08
7/30/2008,804696,234161,2143000,0,287312,,558000,461000,,8.38,7.975,7.85
7/31/2008,1105611,338970,2135000,0,394829,,646000,533000,,7.96,7.61,7.415
8/1/2008,1097409,284282,2125000,0,340345,,444000,502000,,8.19,7.975,7.53
8/2/2008,998842,278026,2100000,0,315198,,407000,514000,,8.01,7.76,7.54
8/3/2008,966539,183678,2153145,0,222078,,445000,500000,,8.01,7.76,7.54
8/4/2008,879366,150588,2117514,0,201425,,428000,480000,,8.01,7.76,7.54
8/5/2008,1056509,309525,2121000,0,355453,,451000,522000,,8.45,8.24,8.12
8/6/2008,1080101,386247,2068000,0,383950,,525000,546000,,7.915,7.705,7.495
8/7/2008,1126681,467925,1989000,8362,440228,,504000,540000,,7.985,7.75,7.575
8/8/2008,1038959,395711,2104000,0,440926,,548000,536000,,8.15,7.94,7.755
8/9/2008,978233,339242,2200000,0,358042,,582000,535000,,7.765,7.495,7.32
8/10/2008,931982,305830,2200000,0,330574,,631000,518000,,7.765,7.495,7.32
8/11/2008,1012872,352726,2169000,0,364767,,601000,513000,,7.765,7.495,7.32
8/12/2008,1098127,339955,2156475,0,404957,,774000,538000,,7.695,7.37,7.21
8/13/2008,1065423,344728,2169000,0,422076,,635000,507000,,7.755,7.43,7.17
8/14/2008,1098021,370615,2125440,0,440370,,662000,508000,,7.635,7.355,7.115
8/15/2008,1074131,412530,2125465,0,448490,,759000,535000,,7.695,7.36,7.11
